Name,Average Weight,Average Length
Aldabrachelys_gigantea,249.5,561
Astrochelys_radiata,15.87,198
Astrochelys_yniphora,18.14,385
Centrochelys_sulcata,68,382.5
Chelonoidis_carbonaria,27,203.5
Chelonoidis_chilensis,3,143
Chelonoidis_denticulata,15,274.5
Chelonoidis_nigra,181,470
Chersina_angulata,5,137
Geochelone_elegans,4,148
Geochelone_platynota,4,157
Gopherus_agassizii,20,236
Gopherus_berlandieri,5,143.5
Gopherus_flavomarginatus,68,268
Gopherus_morafkai,3,158.5
Gopherus_polyphemus,5,188
Homopus_areolatus,0.7,74.5
Homopus_boulengeri,0.15,70
Homopus_femoralis,0.511,92
Homopus_signatus,0.164,70
Indotestudo_elongata,3.5,161.5
Indotestudo_forstenii,2.5,135.5
Indotestudo_travancorica,2.02,138
Kinixys_belliana,2,114.5
Kinixys_erosa,1.5,191
Kinixys_homeana,1,121
Kinixys_lobatsiana,0.68,111
Kinixys_natalensis,1.2,97
Kinixys_nogueyi,1.8,133
Kinixys_spekii,0.7,129
Malacochersus_tornieri,0.45,101
Manouria_emys,37,558
Manouria_impressa,3.2,200
Psammobates_geometricus,0.5,114.5
Psammobates_oculifer,0.36,86.5
Psammobates_tentorius,0.5,82.5
Pyxis_arachnoides,0.4,91
Pyxis_planicauda,0.55,103
Stigmochelys_pardalis,54,327.5
Testudo_graeca,6,129
Testudo_hermanni,3,97.5
Testudo_horsfieldii,10,162
Testudo_kleinmanni,0.4,75.5
Testudo_marginata,5,178
